permno,date,month,ret,shrout,altprc,exchcd,siccd,mktcap,mktcap_lag,exchange,industry,ret_excess,gvkey,month:1,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl,month:2,mkt_excess,smb,hml,rf
10028,1993-03-31T00:00:00,1993-03-01T00:00:00,-0.100000001490116,5626000.0,1.125,2,5094,6.32925,7.0325,AMEX,Wholesale,-0.102500001490116,012096,1993-03-01T00:00:00,-3.58890459316654,0.00251136463716684,-3.12525172283553,-0.46365287033101,0.001004725,0.3336135264,0.0371064145,0.0295,0.0702,0.0021,0.0407,0.0057,0.0034940601,1993-03-01T00:00:00,0.023,0.0024,0.0118,0.0025
10028,1993-04-30T00:00:00,1993-04-01T00:00:00,0.388888895511627,5626000.0,1.5625,2,5094,8.790625,6.32925,AMEX,Wholesale,0.386488895511627,012096,1993-04-01T00:00:00,-3.56198193462992,0.00117728573184728,-3.10811181948652,-0.453870115143403,0.001004785,0.334349806,0.0398126855,0.0287,0.0701,0.0072,0.0414,0.0068,0.0027855153,1993-04-01T00:00:00,-0.0305,-0.0067,0.0249,0.0024
10028,1993-05-28T00:00:00,1993-05-01T00:00:00,0.200000002980232,5626000.0,1.875,2,5094,10.54875,8.790625,AMEX,Wholesale,0.197800002980232,012096,1993-05-01T00:00:00,-3.58327729191808,0.00116790670022748,-3.13925525030617,-0.444022041611909,0.0008173082,0.3248824215,0.0402546288,0.0296,0.0701,0.0047,0.0405,0.0078,0.0013888889,1993-05-01T00:00:00,0.0289,0.0204,-0.0342,0.0022
10028,1993-06-30T00:00:00,1993-06-01T00:00:00,-0.133333340287209,5566000.0,-1.625,2,5094,9.04475,10.54875,AMEX,Wholesale,-0.135833340287209,012096,1993-06-01T00:00:00,-3.58285771392411,0.00117452962410347,-3.14876637428576,-0.434091339638344,0.0005738514,0.3259312476,0.0411540214,0.0307,0.0668,0.0449,0.0361,0.00739999999999999,0.0013869626,1993-06-01T00:00:00,0.0031,-0.0029,0.0275,0.0025
10028,1993-07-30T00:00:00,1993-07-01T00:00:00,0.192307695746422,5566000.0,1.9375,2,5094,10.784125,9.04475,AMEX,Wholesale,0.189907695746422,012096,1993-07-01T00:00:00,-3.57762022969084,-0.000103814379981859,-3.12497247624172,-0.452647753449121,0.0006089625,0.3237770308,0.0410077869,0.0304,0.0656,0.0191,0.0352,0.0076,0.0,1993-07-01T00:00:00,-0.0034,0.0096,0.0285,0.0024
10028,1993-08-31T00:00:00,1993-08-01T00:00:00,-0.0322580635547638,5566000.0,1.875,2,5094,10.43625,10.784125,AMEX,Wholesale,-0.0347580635547638,012096,1993-08-01T00:00:00,-3.61158449941997,-0.000111812155695112,-3.14070667271361,-0.47087782670636,0.0002815688,0.3138649833,0.0401929369,0.0302,0.0623,0.0434,0.0321,0.00749999999999999,0.0027700831,1993-08-01T00:00:00,0.0371,0.0013,0.0013,0.0025
10028,1993-09-30T00:00:00,1993-09-01T00:00:00,-0.0666666701436043,5566000.0,1.75,2,5094,9.7405,10.43625,AMEX,Wholesale,-0.0692666701436043,012096,1993-09-01T00:00:00,-3.60165020270626,-0.000103836768693188,-3.11287271616203,-0.488777486544228,0.0004706748,0.3223518215,0.0418407109,0.0295,0.0627,0.0005,0.0332,0.0068,0.0020718232,1993-09-01T00:00:00,-0.0012,0.0304,-0.0031,0.0026
10028,1993-10-29T00:00:00,1993-10-01T00:00:00,0.25,5566000.0,2.1875,2,5094,12.175625,9.7405,AMEX,Wholesale,0.2478,012096,1993-10-01T00:00:00,-3.61931702223726,0.00154046954912523,-3.10819794082037,-0.511119081416895,0.0003142271,0.3113628329,0.0403671364,0.0302,0.0623,0.0096,0.0321,0.0064,0.0041350793,1993-10-01T00:00:00,0.0141,0.0203,-0.0276,0.0022
10028,1993-11-30T00:00:00,1993-11-01T00:00:00,-0.142857149243355,5566000.0,-1.875,2,5094,10.43625,12.175625,AMEX,Wholesale,-0.145357149243355,012096,1993-11-01T00:00:00,-3.60477621903785,0.00154606342559305,-3.07187353776067,-0.532902681277179,0.0005763517,0.3110794108,0.0438375603,0.031,0.0651,-0.0259,0.0341,0.0073,0.0006863418,1993-11-01T00:00:00,-0.0189,-0.0125,-0.0074,0.0025
10028,1993-12-31T00:00:00,1993-12-01T00:00:00,0.300000011920929,5566000.0,2.4375,2,5094,13.567125,10.43625,AMEX,Wholesale,0.297700011920929,012096,1993-12-01T00:00:00,-3.61328108434195,0.00153572581277484,-3.0591209218722,-0.554160162469753,0.0002696821,0.3052672229,0.0457268699,0.0306,0.0654,0.002,0.0348,0.0076,0.0,1993-12-01T00:00:00,0.0165,0.0123,0.0032,0.0023
