Date,Mkt-RF,SMB,HML,RMW,CMA,MMOM,PEAD,FIN,QMJ,BAB,MGMT,PERF,MKTRF,SMB*,IA,ROE,MKT,ME,LIQ,IFCR,CON
197706,0.0471,0.0207,-0.0064,0.0088,-0.0122,2.54E-05,0.002541969,-0.034968449,-0.008332775,-0.002228567,-0.009977358,0.010016022,0.0471,0.030424577,-0.00707,0.023207,0.047651,0.030879,0.0204,0.0677,0.051852683
197707,-0.0169,0.0182,-0.0059,0.0083,0.0001,0.0031,-0.007776274,-0.018042037,0.009183749,0.028602888,0.011124844,0.003183109,-0.0169,0.017352598,0.010109,0.017244,-0.016683,0.010201,0.0065,0.0078,-0.027274897
197708,-0.0175,0.0089,-0.0279,0.0096,-0.0062,-0.0177,0.019276072,-0.0042594,0.030539988,0.003436746,-0.006110231,0.026610632,-0.0175,0.013686004,-0.009455,0.013919,-0.018336,-0.002468,0.0295,-0.0177,0.006679837
197709,-0.0027,0.0156,-0.0049,0.0123,-0.0084,0.0205,0.010915376,-0.007109035,0.003504451,0.004117827,-0.001179169,0.017279133,-0.0027,0.008220165,-0.000675,0.013814,-0.002756,0.014464,0.0136,-0.0225,-0.013295635
197710,-0.0438,0.015,0.0172,-0.003,-0.0046,-0.0012,-0.008171563,0.016989125,0.010512497,0.001830078,0.008144809,0.003756798,-0.0438,0.018625778,-0.009678,-0.009867,-0.044223,0.015249,-0.0069,-0.0684,-0.025676538
197711,0.04,0.0362,0.0031,-0.0005,0.0065,0.022,0.034285656,0.015120393,-0.006435687,0.002795324,-0.009636226,0.016815088,0.04,0.054517269,0.012225,0.025396,0.040473,0.045697,-0.0001,0.0517,0.000841619
197712,0.0027,0.016,-0.0037,0.0094,-0.0065,0.0156,0.012445819,0.00471927,0.003708116,0.023692078,-0.006897661,0.019767203,0.0027,0.005652471,0.000406,0.012537,0.003518,0.014841,-0.0009,-0.0242,-0.040629553
197801,-0.0601,0.0269,0.0331,-0.0167,0.0153,-0.0072,0.004715229,0.02111816,-0.010831403,0.002343174,0.024962432,-0.012496779,-0.0601,0.029815172,0.009635,-0.017389,-0.060576,0.022854,0.005,-0.067,0.046622648
197802,-0.0138,0.0367,0.0076,0.0036,0.0104,0.019,-0.008987053,0.013689324,-0.000427321,0.014906454,0.014401487,-0.003292558,-0.0138,0.031445975,0.013186,0.000328,-0.014216,0.040613,-0.0021,-0.0208,-0.011908999
197803,0.0285,0.0372,0.012,-0.006,0.0188,0.0137,0.013287089,0.013731966,-0.014324801,0.016333055,0.016000358,-0.006683757,0.0285,0.03745789,0.025242,0.000076,0.028996,0.033861,0.0159,0.057,-0.005862939
197804,0.0788,-0.0031,-0.0354,0.0282,-0.0135,0.0085,0.006981509,0.014209377,0.030293191,0.032063802,-0.011758669,0.030743378,0.0788,-0.004547078,-0.003558,0.055256,0.077129,-0.001184,0.0346,0.1199,-0.028312701
